"user_id","total_orders","lifetime_value","first_purchase_ts","last_purchase_ts"
"d5891858","2","2528.96","2020-06-25","2020-06-25"
"5cc9065d","1","2509.67","2019-01-28","2019-01-28"
"e5ddd9af","2","2462.84","2020-11-18","2020-11-18"
"d2fe183b","2","2426.55","2019-01-20","2019-06-13"
"e8d1457c","2","2396.00","2020-12-27","2020-12-27"
"3e3cf9f1","2","2396.00","2021-01-29","2021-01-29"
"10981fcc","2","2396.00","2020-07-02","2020-07-02"
"acac53d8","2","2396.00","2020-12-22","2020-12-22"
"7ec070a2","2","2396.00","2020-12-29","2020-12-29"
"90d003bc","2","2396.00","2020-09-25","2020-09-25"
"d5caff1a","2","2396.00","2020-01-29","2020-01-29"
"7c45085c","2","2396.00","2020-06-21","2020-06-21"
"53148c17","2","2396.00","2019-08-04","2019-08-04"
"69a4e9e1","2","2396.00","2020-12-08","2020-12-08"
"72f6d168","2","2396.00","2020-01-31","2020-01-31"
"97346300","2","2396.00","2020-08-18","2020-08-18"
"1a1b2b67","2","2383.26","2020-08-20","2020-08-20"
"da6ac090","2","2340.48","2020-08-04","2020-08-04"
"5e4d5e5e","2","2317.32","2019-11-20","2019-11-20"
"8d0393c9","2","2309.42","2020-12-22","2020-12-22"
"741a663e","1","2308.32","2019-02-20","2019-02-20"
"c465e733","2","2307.10","2021-01-17","2021-01-17"
"6a978db6","2","2299.04","2019-09-18","2019-09-18"
"ae27206d","2","2282.84","2020-11-23","2020-11-23"
"b88ad36a","2","2282.84","2021-01-06","2021-01-06"
"941a7d1c","2","2259.60","2021-01-15","2021-01-15"
"5dbb56ac","1","2250.93","2020-11-19","2020-11-19"
"9ffc43cc","1","2250.93","2020-12-03","2020-12-03"
"67492bfb","1","2236.25","2019-04-27","2019-04-27"
"a6650539","2","2229.92","2020-09-04","2020-09-04"
"0e25f621","2","2222.98","2019-07-20","2020-02-22"
"29e9df41","2","2209.26","2020-07-14","2020-07-14"
"6fffadc4","2","2206.14","2020-09-11","2020-09-11"
"60e89e69","1","2205.58","2019-03-06","2019-03-06"
"613a3db2","2","2197.08","2019-09-11","2019-09-11"
"46bd109b","2","2187.06","2021-01-22","2021-01-22"
"15fb64c5","3","2184.90","2019-01-07","2020-04-02"
"ed6518c2","1","2182.90","2019-10-04","2019-10-04"
"214c7bf5","1","2181.75","2020-10-12","2020-10-12"
"34ff61c8","3","2172.92","2019-01-04","2020-12-07"
"25a02e68","1","2171.96","2021-01-01","2021-01-01"
"6b0bbbd7","2","2168.64","2020-04-10","2020-11-26"
"427205a3","2","2167.96","2019-11-23","2019-11-23"
"f2a634a0","2","2164.65","2019-02-18","2020-03-04"
"e5311756","1","2156.11","2020-08-01","2020-08-01"
"9e488d5a","1","2156.11","2020-08-15","2020-08-15"
"2274bc26","1","2150.89","2019-05-05","2019-05-05"
"d5090817","1","2150.66","2019-02-28","2019-02-28"
"25f6b37d","1","2139.47","2020-11-23","2020-11-23"
"5a62b484","2","2138.06","2020-08-21","2021-01-27"
"8922f73e","1","2133.06","2020-10-26","2020-10-26"
"fcc3a46c","1","2131.53","2019-09-09","2019-09-09"
"214994f1","2","2114.32","2020-08-16","2020-08-16"
"21916f83","2","2114.30","2019-01-15","2020-02-29"
"7b438c86","2","2104.22","2019-09-18","2019-09-18"
"dbc98b5b","1","2089.71","2020-06-02","2020-06-02"
"285c4045","1","2089.71","2020-07-04","2020-07-04"
"3bc881aa","1","2089.15","2020-07-04","2020-07-04"
"1284d222","2","2081.34","2020-03-10","2020-03-17"
"471d6636","2","2079.48","2020-03-08","2021-02-04"
"c5d6c5c6","1","2078.04","2019-08-10","2019-08-10"
"4d2de894","3","2076.36","2020-09-03","2020-10-02"
"82fef8b9","1","2063.02","2019-05-05","2019-05-05"
"a0d2a84e","2","2060.92","2019-12-07","2019-12-07"
"1ffd74de","2","2060.44","2020-02-03","2020-08-08"
"1c64bde4","2","2057.42","2020-12-24","2020-12-24"
"a2ec1bea","1","2057.23","2020-06-09","2020-06-09"
"43254a19","1","2042.32","2020-04-01","2020-04-01"
"fcd0126d","2","2036.60","2020-01-24","2020-01-24"
"a53fb203","2","2036.60","2020-09-26","2020-09-26"
"bc5278e3","2","2033.76","2019-09-16","2019-10-31"
"c4014c0a","2","2022.75","2019-10-17","2020-04-12"
"5a1cbed4","1","2021.22","2020-04-22","2020-04-22"
"87030352","1","2021.22","2020-03-13","2020-03-13"
"f36c77a2","2","2020.46","2019-02-12","2020-12-27"
"c410a39f","1","2019.60","2019-07-06","2019-07-06"
"32d5025b","2","2011.23","2020-12-24","2021-02-09"
"f88a0183","1","2007.24","2020-12-08","2020-12-08"
"3a6fd807","1","2007.24","2020-12-06","2020-12-06"
"b8a3621b","1","2007.24","2020-12-24","2020-12-24"
"bfa9e3bf","1","2004.90","2021-02-21","2021-02-21"
"5308b03a","1","2004.90","2021-02-27","2021-02-27"
"7fa4471a","1","2004.90","2021-01-27","2021-01-27"
"a9e8381","1","2004.90","2021-02-21","2021-02-21"
"ed905381","1","2004.90","2021-02-11","2021-02-11"
"af428583","1","2001.65","2021-01-06","2021-01-06"
"0a1161a8","1","2001.65","2020-11-05","2020-11-05"
"2422a8d6","1","2001.65","2020-12-12","2020-12-12"
"7,37E+49","1","2001.65","2020-11-22","2020-11-22"
"86d0c88a","1","2001.65","2021-01-20","2021-01-20"
"4d9b3d7f","1","2001.65","2020-11-26","2020-11-26"
"daa5ccc7","1","2001.65","2020-12-22","2020-12-22"
"6a08b0ea","1","2001.65","2020-11-21","2020-11-21"
"7ab0ea50","1","2001.65","2020-11-11","2020-11-11"
"25ba24c8","3","1992.86","2019-01-07","2020-04-12"
"937719c1","2","1990.62","2020-09-07","2020-09-07"
"d0b9d8f5","1","1990.45","2019-05-16","2019-05-16"
"550b10fa","3","1983.17","2019-09-24","2020-05-19"
"8e80acbd","2","1977.62","2021-01-24","2021-01-24"
"2cd3fe7f","1","1977.56","2019-01-18","2019-01-18"
"4a4140f3","1","1966.50","2019-09-09","2019-09-09"
"fb441ee8","1","1955.25","2020-10-20","2020-10-20"
"f7242a55","1","1955.25","2020-10-08","2020-10-08"
"5f9df2b7","1","1955.25","2020-09-09","2020-09-09"
"e87a6472","1","1955.25","2020-09-27","2020-09-27"
"545cdb0a","1","1955.25","2020-08-09","2020-08-09"
"02e74701","2","1953.92","2020-11-19","2020-11-19"
"96d492af","2","1953.92","2020-12-22","2020-12-22"
"2cde5a7b","1","1951.98","2020-10-08","2020-10-08"
"096eaed0","1","1951.98","2020-12-22","2020-12-22"
"7efae55c","1","1951.98","2020-12-19","2020-12-19"
"8881d777","1","1951.98","2020-10-25","2020-10-25"
"25acfaa0","1","1951.98","2020-12-04","2020-12-04"
"cd321501","1","1951.98","2020-10-15","2020-10-15"
"00b5af54","1","1951.98","2020-11-02","2020-11-02"
"0e89846","1","1951.95","2021-02-17","2021-02-17"
"590e871b","1","1951.95","2021-02-17","2021-02-17"
"19af8df8","1","1951.75","2020-12-27","2020-12-27"
"281af5e2","1","1944.71","2020-12-10","2020-12-10"
"5cd5a1fc","1","1944.00","2019-05-04","2019-05-04"
"7efae19d","2","1941.42","2020-03-02","2020-05-12"
"5767429d","2","1940.18","2020-05-14","2020-12-28"
"ae428ba9","1","1937.14","2020-08-05","2020-08-05"
"b82581fb","1","1937.14","2020-07-22","2020-07-22"
"4d1e7a1c","1","1937.14","2020-07-31","2020-07-31"
"cea0ce47","1","1936.96","2019-05-31","2019-05-31"
"c713968e","1","1934.40","2020-11-12","2020-11-12"
"3906480d","1","1934.40","2020-09-16","2020-09-16"
"e6359f6c","1","1934.40","2020-12-08","2020-12-08"
"0e6f25c4","1","1934.40","2020-11-18","2020-11-18"
"eee46acd","2","1929.99","2019-06-24","2020-08-18"
"a8c0be29","2","1924.72","2020-04-01","2020-05-13"
"a20db475","3","1924.65","2019-06-13","2020-11-10"
"256df6bf","1","1917.00","2019-04-15","2019-04-15"
"b96f0376","2","1916.80","2020-12-10","2020-12-10"
"41429679","2","1916.80","2020-09-22","2020-09-22"
"cd9f3027","2","1916.80","2019-07-19","2019-07-19"
"420eb963","2","1916.80","2020-12-31","2020-12-31"
"fcc6148b","1","1913.29","2021-01-14","2021-01-14"
"5aca9f63","1","1913.29","2020-12-21","2020-12-21"
"543801ed","2","1910.20","2019-05-19","2019-12-25"
"db5d0606","1","1908.00","2019-03-22","2019-03-22"
"699a2052","2","1906.54","2021-01-19","2021-01-19"
"c30e33cd","2","1897.32","2020-10-09","2020-12-21"
"180116f5","2","1895.74","2019-09-02","2019-09-25"
"0f7a8e4d","2","1895.68","2020-08-29","2020-08-29"
"6904b869","1","1892.06","2020-09-03","2020-09-03"
"e3f59efa","1","1892.06","2020-06-15","2020-06-15"
"10f53172","1","1892.06","2020-08-07","2020-08-07"
"421121c7","1","1892.06","2020-05-22","2020-05-22"
"776a1b1c","1","1877.19","2020-09-20","2020-09-20"
"1ccff8eb","3","1876.10","2020-04-02","2020-12-22"
"3391459a","2","1875.54","2020-04-03","2021-01-11"
"855dad54","2","1869.58","2020-02-15","2020-12-10"
"07920c20","1","1868.90","2019-09-01","2019-09-01"
"e54430c2","2","1861.46","2019-10-13","2020-02-25"
"ef3fb07a","1","1860.21","2020-07-27","2020-07-27"
"9e9dbf25","1","1856.64","2020-04-21","2020-04-21"
"706256ce","1","1856.64","2020-05-02","2020-05-02"
"e11f34a2","1","1856.64","2020-07-02","2020-07-02"
"79a88bb2","1","1856.64","2020-06-03","2020-06-03"
"6da2f9c6","1","1854.49","2020-11-12","2020-11-12"
"9b4952a0","2","1852.74","2020-12-22","2020-12-22"
"8b304ec5","1","1852.23","2019-03-20","2019-03-20"
"fa70794b","1","1850.37","2019-05-31","2019-05-31"
"a2432fcb","2","1845.96","2020-03-14","2020-05-06"
"a3b10aea","1","1843.53","2020-12-23","2020-12-23"
"3651a62f","2","1842.08","2020-04-20","2020-05-14"
"2e682622","1","1841.80","2020-11-29","2020-11-29"
"2c189e02","2","1837.31","2019-08-20","2020-10-01"
"e8555ba2","1","1835.92","2019-01-16","2019-01-16"
"ad06d603","1","1834.53","2020-09-18","2020-09-18"
"35f84b0e","1","1832.31","2019-07-14","2019-07-14"
"4c10155c","1","1832.31","2019-05-12","2019-05-12"
"ec2f6e2c","1","1831.10","2019-12-24","2019-12-24"
"fcbb1c02","1","1828.40","2020-12-10","2020-12-10"
"fd74470c","2","1827.86","2020-03-24","2020-11-07"
"24ef1b83","2","1824.00","2020-10-05","2020-12-08"
"3f63ff6a","2","1824.00","2020-06-30","2020-11-24"
"4c1e656b","2","1824.00","2020-04-19","2020-06-10"
"ec856169","1","1819.08","2019-08-10","2019-08-10"
"9b9fb18a","2","1818.64","2020-09-13","2020-09-13"
"b654c950","2","1815.78","2020-05-04","2020-05-14"
"d8e17cc8","1","1814.23","2020-04-02","2020-04-02"
"af8bf627","1","1814.23","2020-03-31","2020-03-31"
"f3c221a7","1","1814.23","2020-01-23","2020-01-23"
"80915264","1","1814.23","2020-02-24","2020-02-24"
"72a5220e","1","1814.23","2020-04-19","2020-04-19"
"cddb6219","1","1814.23","2020-03-26","2020-03-26"
"663f1469","2","1813.12","2020-09-29","2020-11-19"
"069fef79","1","1811.62","2020-10-18","2020-10-18"
"f1db2473","1","1810.59","2020-12-09","2020-12-09"
"e28b5b77","2","1808.78","2020-04-14","2020-09-28"
"3e6d368a","1","1802.41","2020-11-08","2020-11-08"
"1ee72541","1","1802.35","2020-06-22","2020-06-22"
"954a57bd","1","1802.35","2020-04-28","2020-04-28"
"ff54737b","1","1802.35","2020-05-19","2020-05-19"
"f3d50203","1","1802.35","2020-05-24","2020-05-24"
"34b679aa","1","1802.35","2020-06-03","2020-06-03"
"123f2e2d","1","1802.35","2020-05-25","2020-05-25"
"9eb8665a","1","1802.35","2020-06-07","2020-06-07"
"16996f55","1","1802.35","2020-04-21","2020-04-21"
"30df64ce","1","1802.35","2020-05-06","2020-05-06"
"03affbd2","1","1800.00","2020-08-27","2020-08-27"
"3670eea4","1","1800.00","2020-08-04","2020-08-04"
"8e9941ef","1","1800.00","2021-02-24","2021-02-24"
"ec6c0751","1","1800.00","2020-09-28","2020-09-28"
"721cf3a9","1","1800.00","2020-02-19","2020-02-19"
"c4b7dd38","1","1800.00","2021-01-09","2021-01-09"
"1b9ea2bb","1","1800.00","2020-12-14","2020-12-14"
"43651cc0","1","1800.00","2020-01-27","2020-01-27"
"1c2afdf4","1","1800.00","2019-08-02","2019-08-02"
"c2ad591e","1","1800.00","2019-05-03","2019-05-03"
"fe6fed04","1","1800.00","2020-06-16","2020-06-16"
"19b110e6","1","1800.00","2019-05-04","2019-05-04"
"74970966","1","1800.00","2020-11-10","2020-11-10"
"c85b6e27","1","1800.00","2020-07-06","2020-07-06"
"70c4f5ef","1","1800.00","2021-01-28","2021-01-28"
"c9c51b96","1","1800.00","2021-02-15","2021-02-15"
"6004f27c","1","1800.00","2020-11-23","2020-11-23"
"c0b48565","1","1800.00","2020-09-29","2020-09-29"
"ca1d35c8","1","1800.00","2020-03-28","2020-03-28"
"757af529","1","1800.00","2020-11-01","2020-11-01"
"18ecdc2a","1","1800.00","2020-12-13","2020-12-13"
"1d9e2f81","1","1800.00","2020-12-17","2020-12-17"
"1db9d78a","1","1800.00","12-31-2020 01:54:33","12-31-2020 01:54:33"
"70a3e726","1","1800.00","2020-11-05","2020-11-05"
"1e5aa823","1","1800.00","2020-09-17","2020-09-17"
"4b81c14e","1","1800.00","2020-06-15","2020-06-15"
"1e796129","1","1800.00","2019-08-30","2019-08-30"
"bf0f7756","1","1800.00","2021-01-22","2021-01-22"
"776778ab","1","1800.00","2020-10-21","2020-10-21"
"5d678d3d","1","1800.00","2019-02-17","2019-02-17"
"1effb1cd","1","1800.00","2020-07-21","2020-07-21"
"7771165a","1","1800.00","2020-08-04","2020-08-04"
"5133015b","1","1800.00","2020-04-12","2020-04-12"
"fcf3f77a","1","1800.00","2020-09-30","2020-09-30"
"1fa8736","1","1800.00","2021-02-15","2021-02-15"
"bc26f469","1","1800.00","2020-09-07","2020-09-07"
"cd3ead03","1","1800.00","2020-07-16","2020-07-16"
"01e31729","1","1800.00","2021-02-21","2021-02-21"
"bb937ad5","1","1800.00","2020-03-18","2020-03-18"
"bb350cd9","1","1800.00","2020-04-08","2020-04-08"
"fbe0393d","1","1800.00","2020-03-13","2020-03-13"
"1794ecfd","1","1800.00","2020-04-11","2020-04-11"
"ce1b4d1c","1","1800.00","2019-07-26","2019-07-26"
"5292b9fb","1","1800.00","2020-11-29","2020-11-29"
"7904be53","1","1800.00","2020-05-13","2020-05-13"
"ce81a11d","1","1800.00","2020-09-23","2020-09-23"
"6fc2151b","1","1800.00","2020-07-23","2020-07-23"
"40d42f62","1","1800.00","2020-06-23","2020-06-23"
"6f92b1d4","1","1800.00","2020-09-23","2020-09-23"
"40c3bf28","1","1800.00","2020-12-08","2020-12-08"
"5cb4ee6f","1","1800.00","2019-11-26","2019-11-26"
"0281aae0","1","1800.00","2020-02-17","2020-02-17"
"4b164521","1","1800.00","2019-04-05","2019-04-05"
"b872eca3","1","1800.00","2020-04-22","2020-04-22"
"cf88c945","1","1800.00","2020-08-23","2020-08-23"
"6197151f","1","1800.00","2021-01-22","2021-01-22"
"408219d1","1","1800.00","2019-08-27","2019-08-27"
"4d1c4a59","1","1800.00","2020-04-20","2020-04-20"
"fa94c0e4","1","1800.00","2020-04-25","2020-04-25"
"02d9cd93","1","1800.00","2019-06-13","2019-06-13"
"b7dafba0","1","1800.00","2020-11-17","2020-11-17"
"fa6c9532","1","1800.00","2020-01-27","2020-01-27"
"61fc83e3","1","1800.00","2020-11-04","2020-11-04"
"2296a043","1","1800.00","2020-02-29","2020-02-29"
"b66f3019","1","1800.00","2020-06-05","2020-06-05"
"4,44E+09","1","1800.00","2020-04-17","2020-04-17"
"7ac2fa3a","1","1800.00","2019-12-06","2019-12-06"
"7ad594c1","1","1800.00","2020-09-29","2020-09-29"
"b5ef695a","1","1800.00","2020-05-10","2020-05-10"
"23782553","1","1800.00","2020-06-16","2020-06-16"
"3fdb5671","1","1800.00","2019-06-01","2019-06-01"
"f9c3c770","1","1800.00","2020-10-07","2020-10-07"
"23a45258","1","1800.00","2019-02-15","2019-02-15"
"b4bfc234","1","1800.00","2020-05-20","2020-05-20"
"b48ff824","1","1800.00","2020-05-05","2020-05-05"
"23f690bf","1","1800.00","2020-02-08","2020-02-08"
"b4191dfd","1","1800.00","2020-07-03","2020-07-03"
"3f8c067f","1","1800.00","2020-10-23","2020-10-23"
"6eef97ed","2","1800.00","2019-03-22","2019-03-22"
"b3cba548","1","1800.00","2019-09-22","2019-09-22"
"243d8f4e","2","1800.00","2020-11-01","2020-11-09"
"b35c7e9f","1","1800.00","2020-12-07","2020-12-07"
"4d8b5b59","1","1800.00","2020-08-15","2020-08-15"
"d3d91a60","1","1800.00","2020-09-23","2020-09-23"
"f8eccf61","1","1800.00","2020-09-01","2020-09-01"
"f8dee56d","1","1800.00","2019-03-11","2019-03-11"
"03ae49e8","1","1800.00","2020-04-23","2020-04-23"
"b1689a7f","1","1800.00","2019-04-13","2019-04-13"
"638859ca","1","1800.00","2020-03-04","2020-03-04"
"f8b5c1dc","1","1800.00","2020-08-01","2020-08-01"
"b14722d1","1","1800.00","2020-03-08","2020-03-08"
"03d0ccbb","1","1800.00","2020-03-30","2020-03-30"
"f87e57e0","1","1800.00","2020-07-19","2020-07-19"
"b0cb6c5d","1","1800.00","2020-11-28","2020-11-28"
"b071e2e0","1","1800.00","2020-03-18","2020-03-18"
"254b78ae","1","1800.00","2020-01-24","2020-01-24"
"7c77e430","1","1800.00","2020-06-21","2020-06-21"
"7d1f1e88","1","1800.00","2020-08-15","2020-08-15"
"d58bc530","1","1800.00","2020-10-10","2020-10-10"
"aecd3ccd","1","1800.00","2020-04-11","2020-04-11"
"d66bed7c","1","1800.00","2020-12-07","2020-12-07"
"ae5e4771","1","1800.00","2020-10-14","2020-10-14"
"262bd600","1","1800.00","2020-11-20","2020-11-20"
"4a0c61a0","1","1800.00","2019-08-28","2019-08-28"
"f72495de","1","1800.00","2020-08-27","2020-08-27"
"4de7d1d1","1","1800.00","2020-12-27","2020-12-27"
"049d2c78","1","1800.00","2020-07-13","2020-07-13"
"d73ad3cf","1","1800.00","2020-08-10","2020-08-10"
"ac6d5fd5","1","1800.00","2020-02-19","2020-02-19"
"ac1b6ba4","1","1800.00","2020-09-19","2020-09-19"
"d7edf26d","1","1800.00","2019-06-30","2019-06-30"
"3e27915b","1","1800.00","2020-08-24","2020-08-24"
"f672f5f5","1","1800.00","2021-01-06","2021-01-06"
"d85c3860","1","1800.00","2020-12-08","2020-12-08"
"27fd41bb","1","1800.00","2020-10-23","2020-10-23"
"d8c3878c","1","1800.00","2020-12-17","2020-12-17"
"d8f2cfd3","1","1800.00","2019-05-30","2019-05-30"
"12b00b9b","1","1800.00","2020-07-15","2020-07-15"
"d9e582f2","1","1800.00","2020-03-24","2020-03-24"
"daa082be","1","1800.00","2019-02-06","2019-02-06"
"4e5bc39a","1","1800.00","2020-07-30","2020-07-30"
"298785","1","1800.00","2020-07-03","2020-07-03"
"daf9b87f","1","1800.00","2020-08-21","2020-08-21"
"db1fd592","1","1800.00","2020-12-22","2020-12-22"
"a783d18d","1","1800.00","2020-05-29","2020-05-29"
"f4c878d5","1","1800.00","2020-04-19","2020-04-19"
"a72f60dd","1","1800.00","2020-08-17","2020-08-17"
"11be1f10","1","1800.00","2020-05-25","2020-05-25"
"597c11ba","1","1800.00","2020-12-24","2020-12-24"
"80246bf9","1","1800.00","2020-06-08","2020-06-08"
"6d706189","1","1800.00","2020-01-21","2020-01-21"
"807a2b02","1","1800.00","2020-12-09","2020-12-09"
"05b6823d","1","1800.00","2020-10-21","2020-10-21"
"a6184f6b","1","1800.00","2019-12-20","2019-12-20"
"a5e26202","2","1800.00","2020-05-22","2020-07-07"
"814e6a07","1","1800.00","2020-07-09","2020-07-09"
"a58576fc","1","1800.00","2020-03-28","2020-03-28"
"45c6b9b4","1","1800.00","2020-10-24","2020-10-24"
"81879962","1","1800.00","2020-08-22","2020-08-22"
"dd4288ce","1","1800.00","2020-06-11","2020-06-11"
"f3c62d76","1","1800.00","2020-08-10","2020-08-10"
"6d4a43a9","1","1800.00","2019-10-07","2019-10-07"
"f3a543ff","1","1800.00","2020-10-06","2020-10-06"
"821c1406","1","1800.00","2020-03-12","2020-03-12"
"10d216eb","1","1800.00","2020-12-01","2020-12-01"
"5f1db480","1","1800.00","2020-07-30","2020-07-30"
"10cfab29","1","1800.00","2020-09-20","2020-09-20"
"2b4e7bac","1","1800.00","2020-11-01","2020-11-01"
"10b684d6","1","1800.00","2019-11-27","2019-11-27"
"10b3e2ad","1","1800.00","2020-04-29","2020-04-29"
"82c3616c","1","1800.00","2020-11-12","2020-11-12"
"2b4fb703","1","1800.00","2019-01-08","2019-01-08"
"82c554a6","1","1800.00","2020-06-22","2020-06-22"
"82ccc9f7","1","1800.00","2020-09-02","2020-09-02"
"a397ab46","1","1800.00","2019-10-31","2019-10-31"
"0679358c","1","1800.00","2020-05-07","2020-05-07"
"de93306b","1","1800.00","2020-02-06","2020-02-06"
"2c3f15dd","1","1800.00","2020-03-01","2020-03-01"
"2c5db41f","1","1800.00","2020-07-18","2020-07-18"
"1017bc2a","1","1800.00","2020-12-27","2020-12-27"
"2c9f1dc4","1","1800.00","2020-08-05","2020-08-05"
"2caf8026","1","1800.00","2020-11-04","2020-11-04"
"a223b2c2","1","1800.00","2020-06-29","2020-06-29"
"a1a45b6c","1","1800.00","2020-04-21","2020-04-21"
"e056a0fb","1","1800.00","2019-01-06","2019-01-06"
"a03a8ae8","1","1800.00","2020-06-16","2020-06-16"
"9fe55e17","1","1800.00","2020-12-22","2020-12-22"
"9f1fa198","1","1800.00","2021-02-15","2021-02-15"
"e1a1b12b","1","1800.00","2020-11-13","2020-11-13"
"077af78b","1","1800.00","2020-07-02","2020-07-02"
"7210055c","1","1800.00","2020-05-29","2020-05-29"
"9dcc34b7","1","1800.00","2020-07-03","2020-07-03"
"9d746d5c","1","1800.00","2020-02-02","2020-02-02"
"4c315bfa","1","1800.00","2019-12-14","2019-12-14"
"9d5f4c9c","1","1800.00","2021-01-23","2021-01-23"
"9d40e079","1","1800.00","2020-04-11","2020-04-11"
"9d245839","1","1800.00","2019-09-12","2019-09-12"
"e317701","1","1800.00","2021-02-21","2021-02-21"
"9ccdb43b","1","1800.00","2020-10-21","2020-10-21"
"9c60d369","1","1800.00","2020-08-05","2020-08-05"
"c6895acd","1","1800.00","2020-06-10","2020-06-10"
"4642907","1","1800.00","2020-08-14","2020-08-14"
"9bb51a15","1","1800.00","2020-08-24","2020-08-24"
"9ac287b1","1","1800.00","2020-11-24","2020-11-24"
"0e142ed0","1","1800.00","2020-12-02","2020-12-02"
