"user_id","total_orders","lifetime_value","customer_segment"
"00bc8d1f","1","480.00","1 order"
"00c6a73f","1","24.00","1 order"
"00c6f516","1","480.00","1 order"
"00c7ed5c","1","25.65","1 order"
"00cc2178","1","23.03","1 order"
"00dbcf07","1","360.00","1 order"
"00de2691","2","960.00","2-3 orders"
"00dfc5a3","1","159.99","1 order"
"00e019a6","1","1644.24","1 order"
"00f19c59","1","168.00","1 order"
"00fe4189","1","168.00","1 order"
"0100591d","1","153.07","1 order"
"01017be3","1","168.00","1 order"
"0101d97c","1","348.06","1 order"
"01055ac2","1","151.20","1 order"
"01068f2c","1","167.76","1 order"
"0107c44c","1","160.34","1 order"
"010e7e53","1","317.96","1 order"
"010ebf9e","1","150.00","1 order"
"0110d3c1","1","24.00","1 order"
"0111502c","1","168.00","1 order"
"01137f3a","1","1191.63","1 order"
"0113cf6b","2","280.06","2-3 orders"
"0116fc77","1","962.06","1 order"
"011a5041","1","153.39","1 order"
"011c9ac7","1","15.99","1 order"
"012482fe","1","24.00","1 order"
"01267a7f","1","139.65","1 order"
"012768d1","1","21.80","1 order"
"012ce7cf","1","423.02","1 order"
"0139ae67","1","410.04","1 order"
"013a2731","1","23.32","1 order"
"013cddb6","1","476.06","1 order"
"0140329f","1","405.53","1 order"
"01411ca0","1","168.00","1 order"
"01413ebf","1","480.00","1 order"
"0144512a","1","168.00","1 order"
"014453b3","1","168.00","1 order"
"014775a8","1","322.03","1 order"
"0149c0d3","1","480.00","1 order"
"01512c9d","1","480.00","1 order"
"01555faf","1","24.00","1 order"
"0158091b","1","467.18","1 order"
"015d8d5c","1","155.85","1 order"
"015f09a2","1","142.80","1 order"
"015faa9c","1","168.00","1 order"
"016416d2","2","27.96","2-3 orders"
"016e44c0","2","824.06","2-3 orders"
"0172228d","1","480.00","1 order"
"0172a007","1","168.00","1 order"
"0172bf90","1","438.72","1 order"
"0172d02d","2","3868.80","2-3 orders"
"017b7fab","1","182.34","1 order"
"017e3015","1","174.96","1 order"
"0186dc6e","1","168.00","1 order"
"0188d8b2","1","160.34","1 order"
"0188f7b0","1","480.00","1 order"
"018af31b","1","24.00","1 order"
"018cd876","1","19.20","1 order"
"0194f3eb","1","168.00","1 order"
"01985a05","1","342.76","1 order"
"0198f1ba","1","340.57","1 order"
"019c7e07","1","168.00","1 order"
"019d2eec","1","168.00","1 order"
"01a3a3ed","1","144.17","1 order"
"01acb04f","1","24.00","1 order"
"01ad8a49","1","480.00","1 order"
"01b2ab66","1","101.97","1 order"
"01b582b8","1","24.00","1 order"
"01b8833c","1","168.00","1 order"
"01b90099","1","386.53","1 order"
"01c9e4db","1","168.00","1 order"
"01d08234","1","168.00","1 order"
"01d1bce5","1","168.00","1 order"
"01d206c3","1","25.36","1 order"
"01d20ae2","1","48.14","1 order"
"01d23834","1","23.06","1 order"
"01d264a3","1","192.26","1 order"
"01d447bc","1","337.56","1 order"
"01d4ad98","1","24.00","1 order"
"01e31729","1","1800.00","1 order"
"01e610a2","1","1216.35","1 order"
"01e6d77c","1","49.98","1 order"
"01e707af","2","960.00","2-3 orders"
"01ea3beb","1","480.00","1 order"
"01ec21a1","1","1198.00","1 order"
"01ededc0","2","313.54","2-3 orders"
"01f556b3","1","129.20","1 order"
"01f6bef9","1","148.05","1 order"
"01f74dfb","1","425.62","1 order"
"01f89fcd","1","480.00","1 order"
"01f977c5","3","2580.26","2-3 orders"
"0200a18b","1","65.63","1 order"
"0203d461","1","480.00","1 order"
"0206f3fa","1","168.00","1 order"
"02157f8f","1","175.10","1 order"
"021b2d88","1","480.00","1 order"
"02256ccc","1","405.53","1 order"
"022738f3","1","168.00","1 order"
"0227cdfc","2","336.00","2-3 orders"
"0228447d","1","21.84","1 order"
"022960de","1","168.00","1 order"
"022c9ca1","1","1221.76","1 order"
"0235a9b7","1","17.98","1 order"
"023a8b38","1","160.34","1 order"
"023c2b63","1","111.59","1 order"
"023f8a78","1","151.20","1 order"
"02463b04","1","168.00","1 order"
"02465c89","1","909.32","1 order"
"024d8ab8","1","23.98","1 order"
"02532feb","1","168.00","1 order"
"0257ac8c","1","1664.93","1 order"
"02585f8b","1","49.98","1 order"
"02635c14","1","400.69","1 order"
"02651d8e","1","419.92","1 order"
"026c8361","1","405.53","1 order"
"026eac32","1","168.70","1 order"
"02713bd2","1","456.07","1 order"
"027ebc57","1","35.94","1 order"
"027f87c0","1","176.52","1 order"
"0281aae0","1","1800.00","1 order"
"028af624","1","155.42","1 order"
"028b0d4f","1","480.00","1 order"
"0291e792","1","24.00","1 order"
"0296568a","1","144.71","1 order"
"029aedf6","1","23.10","1 order"
"029c9eb8","1","1157.74","1 order"
"02a2de22","1","439.93","1 order"
"02a3c832","1","42.49","1 order"
"02a41a2b","1","24.00","1 order"
"02a9c724","1","22.52","1 order"
"02ab8365","1","343.22","1 order"
"02aca34d","1","24.30","1 order"
"02ad7b30","1","168.00","1 order"
"02b0bcec","1","480.00","1 order"
"02b42409","1","470.74","1 order"
"02ba1f95","1","168.00","1 order"
"02c36cbb","1","115.33","1 order"
"02c5d9f5","1","24.00","1 order"
"02c5fd03","1","423.46","1 order"
"02c6b167","1","168.00","1 order"
"02ccd047","1","168.00","1 order"
"02d13dca","1","480.00","1 order"
"02d56104","1","1198.00","1 order"
"02d9cd93","1","1800.00","1 order"
"02dac255","1","19.20","1 order"
"02dc501e","3","633.04","2-3 orders"
"02ddfcb2","1","16.74","1 order"
"02e48a7a","1","168.00","1 order"
"02e6c7d8","1","792.24","1 order"
"02e74701","2","1953.92","2-3 orders"
"02e96050","1","432.00","1 order"
"02f0cb4d","1","485.13","1 order"
"02f14837","1","168.00","1 order"
"02f37a88","1","168.00","1 order"
"02f47c7a","1","24.00","1 order"
"02fa3123","1","480.00","1 order"
"02fb8c48","1","151.99","1 order"
"02fde662","1","384.00","1 order"
"030cf150","1","480.00","1 order"
"030d55ce","1","168.00","1 order"
"030dc85e","2","467.60","2-3 orders"
"031beba4","1","608.20","1 order"
"031d91e5","1","148.90","1 order"
"031f879e","1","168.00","1 order"
"032344c4","1","23.24","1 order"
"0325529b","1","168.00","1 order"
"0329cb05","1","168.00","1 order"
"032a0d37","1","168.00","1 order"
"032a5d77","2","189.90","2-3 orders"
"032b88c7","1","168.00","1 order"
"033f34fa","1","168.00","1 order"
"034175d0","1","24.00","1 order"
"034194ea","1","168.00","1 order"
"0347f8c3","1","49.98","1 order"
"034b47b2","1","22.68","1 order"
"03593c4e","1","408.00","1 order"
"035a8ffc","1","158.90","1 order"
"035e83a1","3","733.28","2-3 orders"
"0360178b","1","480.00","1 order"
"036675f2","1","480.00","1 order"
"03667c88","1","22.00","1 order"
"0368e34a","1","798.00","1 order"
"036b0b49","2","336.00","2-3 orders"
"03720ae8","1","16.37","1 order"
"0372ae5d","1","480.00","1 order"
"0372fdfc","1","168.00","1 order"
"0373d738","1","480.00","1 order"
"03769f33","1","461.60","1 order"
"03785d97","1","20.93","1 order"
"037970b0","1","15.36","1 order"
"037cb0df","1","384.00","1 order"
"038089f0","1","367.98","1 order"
"0382bdce","1","22.80","1 order"
"03842cf9","1","152.48","1 order"
"0389f3af","1","24.00","1 order"
"038beb5d","1","24.93","1 order"
"0390e34b","1","23.12","1 order"
"03927a99","1","480.00","1 order"
"0392cbf4","1","25.97","1 order"
"0398add6","1","166.03","1 order"
"039b07b9","1","24.00","1 order"
"03a3ce5e","1","164.88","1 order"
"03a470e2","1","171.65","1 order"
"03aa4ec5","1","24.00","1 order"
"03ad7d27","1","168.00","1 order"
"03ae49e8","1","1800.00","1 order"
"03afc5a8","1","24.00","1 order"
"03affbd2","1","1800.00","1 order"
"03b2d265","1","168.00","1 order"
"03b9dddc","1","471.28","1 order"
"03bd1809","1","175.84","1 order"
"03beb42e","1","183.20","1 order"
"03c691c7","1","485.13","1 order"
"03cdf413","1","168.00","1 order"
"03ce509c","1","23.20","1 order"
"03d0ccbb","1","1800.00","1 order"
"03d11796","2","99.96","2-3 orders"
"03dc1dfa","1","24.00","1 order"
"03e2e16e","1","420.38","1 order"
"03e40f41","1","168.00","1 order"
"03e4aed7","1","1176.59","1 order"
"03e6685a","1","168.00","1 order"
"03e6e947","1","167.76","1 order"
"03e8429d","1","142.02","1 order"
"03e95168","1","35.94","1 order"
"03f095e0","1","1664.70","1 order"
"03f10bfe","2","310.84","2-3 orders"
"03f25b33","1","408.00","1 order"
"03f39cbb","1","1198.00","1 order"
"03f59e88","1","168.00","1 order"
"03f708da","1","1379.88","1 order"
"03f7be56","1","19.92","1 order"
"03f888ab","1","25.74","1 order"
"03fb520c","1","141.62","1 order"
"03fd33f7","1","168.00","1 order"
"03fe6245","1","142.63","1 order"
"040576df","1","147.85","1 order"
"040e2dd8","1","24.00","1 order"
"0413c649","1","24.94","1 order"
"041eeaeb","1","169.35","1 order"
"04269ace","2","308.00","2-3 orders"
"042e64ce","1","420.03","1 order"
"04378bc4","1","168.00","1 order"
"043fc646","1","160.34","1 order"
"043fef15","1","16.09","1 order"
"0440aa1d","1","142.80","1 order"
"044b7f97","1","24.00","1 order"
"044dd267","1","168.00","1 order"
"044e2e18","2","48.00","2-3 orders"
"044f515b","1","168.00","1 order"
"0450c210","1","175.86","1 order"
"0451f0a1","1","159.12","1 order"
"0452d6cc","1","168.00","1 order"
"046183d5","1","480.00","1 order"
"04648af2","1","480.00","1 order"
"04686fab","1","168.00","1 order"
"046ab72d","1","168.00","1 order"
"046d3124","1","142.80","1 order"
"046e7528","1","168.00","1 order"
"04744aee","1","390.59","1 order"
"0476b85f","1","168.00","1 order"
"04835b47","1","437.87","1 order"
"0485e4d8","1","1496.10","1 order"
"0487470","1","158.32","1 order"
"0487ecb0","1","1144.61","1 order"
"04892ac0","1","453.67","1 order"
"048d3d4f","1","157.01","1 order"
"048e31dc","1","161.05","1 order"
"0493c8a2","1","168.00","1 order"
"04995e1b","1","175.33","1 order"
"049b9adb","1","1068.47","1 order"
"049d2c78","1","1800.00","1 order"
"04a07bc7","3","656.94","2-3 orders"
"04a0acab","1","42.49","1 order"
"04a2b26c","2","824.62","2-3 orders"
"04a4cb63","1","24.00","1 order"
"04ad6a39","1","146.59","1 order"
"04adf42e","1","49.98","1 order"
"04b2b6eb","1","142.80","1 order"
"04b52508","1","379.48","1 order"
"04c1ca68","1","167.92","1 order"
"04c37325","1","168.00","1 order"
"04c6b93a","1","1198.00","1 order"
"04ca8e80","1","168.99","1 order"
"04ce9684","1","48.14","1 order"
"04d6c8ed","1","168.00","1 order"
"04dede77","1","151.99","1 order"
"04e1d68f","1","13.98","1 order"
"04e2aec8","1","168.00","1 order"
"04e83cf6","1","798.00","1 order"
"04ead4e9","2","430.75","2-3 orders"
"04ed5de4","1","168.00","1 order"
"04edb4c9","2","3069.90","2-3 orders"
"04eeb8c0","1","168.00","1 order"
"04ef3e5c","1","160.14","1 order"
"04ef7c1a","1","329.96","1 order"
"04f0b421","2","3903.96","2-3 orders"
"04f45861","2","99.96","2-3 orders"
"04f55b20","2","323.04","2-3 orders"
"04fcb27e","1","421.59","1 order"
"04fd266c","1","142.80","1 order"
"0505082c","1","168.00","1 order"
"050927de","1","168.00","1 order"
"050bb70b","1","1368.45","1 order"
"050cb260","1","19.92","1 order"
"050f2cf1","1","153.91","1 order"
"050f3e90","1","18.99","1 order"
"0516b264","2","1209.04","2-3 orders"
"0519f35d","1","24.55","1 order"
"051a94ee","1","168.00","1 order"
"051b022d","1","49.98","1 order"
"051b3133","1","168.00","1 order"
"052c1e82","1","891.16","1 order"
"053b135f","1","1012.74","1 order"
"0542100d","1","360.72","1 order"
"054723fa","1","49.98","1 order"
"0548a2fb","2","960.00","2-3 orders"
"0548e915","1","149.42","1 order"
"054b4b05","1","49.98","1 order"
"054bf215","1","480.00","1 order"
"054e6d37","1","176.13","1 order"
"054f02ca","1","19.20","1 order"
"05546f29","1","168.00","1 order"
"05579efc","1","263.92","1 order"
"055a4d0a","1","963.23","1 order"
"055bac56","1","480.00","1 order"
"055c8908","1","1132.29","1 order"
"055f2802","1","168.00","1 order"
"056082ce","1","23.08","1 order"
"0568ff42","1","1198.00","1 order"
"056d2bef","1","181.02","1 order"
"056e7c49","1","1017.64","1 order"
"05748f15","1","168.00","1 order"
"0575cace","1","177.11","1 order"
"057af623","1","112.23","1 order"
"057cea57","1","480.00","1 order"
"0581ba91","2","511.58","2-3 orders"
"0582cb5f","1","407.28","1 order"
"05830d93","1","24.00","1 order"
"058a81ce","1","21.91","1 order"
"0592c70c","1","355.11","1 order"
"0592ea4e","1","49.98","1 order"
"05950ce1","2","336.00","2-3 orders"
"059c3fe7","1","1706.16","1 order"
"05a3940c","1","338.78","1 order"
"05a46778","1","19.34","1 order"
"05a8a4f3","1","168.00","1 order"
"05a8ec32","1","168.00","1 order"
"05a9e8c7","1","168.00","1 order"
"05ae3208","2","303.12","2-3 orders"
"05b01b50","2","307.76","2-3 orders"
"05b6823d","1","1800.00","1 order"
"05b6ed71","1","164.42","1 order"
"05b7c8a1","1","798.00","1 order"
"05bdeba0","1","168.00","1 order"
"05be8ebf","1","134.40","1 order"
"05bea6b8","1","24.00","1 order"
"05c1da16","1","151.81","1 order"
"05c7fb87","1","451.63","1 order"
"05c901a1","1","168.00","1 order"
"05ca31e6","1","142.80","1 order"
"05cfdde0","1","138.13","1 order"
"05d36c29","1","158.90","1 order"
"05dc958a","1","136.25","1 order"
"05de62a2","1","24.00","1 order"
"05dee21f","1","24.00","1 order"
"05dfdf97","1","148.67","1 order"
"05e58e77","1","24.00","1 order"
"05e6d9fe","1","168.00","1 order"
"05ea0844","1","480.00","1 order"
"05ee016f","1","23.34","1 order"
"05f88db0","1","24.00","1 order"
"05f99535","3","451.56","2-3 orders"
"05fa04b7","1","22.52","1 order"
"05fceb92","1","168.00","1 order"
"05fd1d23","2","3600.00","2-3 orders"
"060dce87","1","480.00","1 order"
"061082d3","1","286.26","1 order"
"061144f2","1","142.80","1 order"
"06121f91","1","140.91","1 order"
"061d56d4","1","164.88","1 order"
"0621e561","1","151.99","1 order"
"0621eb7d","1","160.34","1 order"
"06280c09","2","255.00","2-3 orders"
"062b05af","1","25.39","1 order"
"062e43dd","1","1198.00","1 order"
"062faecb","1","384.34","1 order"
"0630720c","1","23.36","1 order"
"063403b3","1","1372.48","1 order"
"0635032b","1","480.00","1 order"
"06356c53","1","19.16","1 order"
"063b651a","1","480.00","1 order"
"063e37f6","1","49.98","1 order"
"063f892c","1","8.58","1 order"
"06448aaa","1","480.00","1 order"
"0645e528","1","24.14","1 order"
"0646a776","1","175.22","1 order"
"0648c91f","1","168.00","1 order"
"064b7dcf","1","1369.98","1 order"
"064e4720","1","153.36","1 order"
"064fd7a8","1","408.00","1 order"
"065347f8","1","142.80","1 order"
"0655ac8c","1","168.00","1 order"
"065e3ce0","1","24.00","1 order"
"065f20c1","1","25.36","1 order"
"0660d92d","1","168.00","1 order"
"06680f99","1","24.00","1 order"
"066b0394","1","22.11","1 order"
"0679358c","1","1800.00","1 order"
"067f9a1f","2","107.06","2-3 orders"
"0688a445","1","24.26","1 order"
"068cda64","1","23.69","1 order"
"068e40e8","1","168.00","1 order"
"068ecef5","1","464.40","1 order"
"06977b77","1","22.98","1 order"
"0699875c","1","146.59","1 order"
"069a22e7","1","168.00","1 order"
"069d4bda","1","148.67","1 order"
"069fef79","1","1811.62","1 order"
"06a77aca","1","1198.00","1 order"
"06a7d215","1","24.00","1 order"
"06a810b2","1","542.50","1 order"
"06b025f4","1","150.27","1 order"
"06ba1690","1","477.12","1 order"
"06bd2b17","1","139.56","1 order"
"06c95f23","1","168.00","1 order"
"06d1424c","1","21.12","1 order"
"06d363fd","1","109.46","1 order"
"06d5cf21","1","167.98","1 order"
"06d8622","1","168.00","1 order"
"06de37bf","1","22.77","1 order"
"06e0e9a4","1","21.82","1 order"
"06e29733","1","175.74","1 order"
"06e37c67","1","305.42","1 order"
"06e539e4","1","24.00","1 order"
"06e615c2","1","21.85","1 order"
"06e77fd2","1","155.85","1 order"
"06e9b6d4","1","168.00","1 order"
"06f0b086","1","24.00","1 order"
"06f323a8","1","24.00","1 order"
"06f4c80e","1","480.00","1 order"
"06fd333e","1","168.00","1 order"
"0700e584","2","48.00","2-3 orders"
"070117f5","1","168.00","1 order"
"070165a0","1","168.00","1 order"
"07075b9d","1","24.00","1 order"
"07131c4d","1","480.00","1 order"
"071c0f71","1","142.81","1 order"
"07224a30","1","168.00","1 order"
"07282c69","1","155.42","1 order"
"072b4fae","1","21.70","1 order"
"072bb0d8","1","168.00","1 order"
"072e2d26","1","16.81","1 order"
"073530ae","1","168.00","1 order"
"073cc789","1","19.20","1 order"
"073e96e1","1","147.85","1 order"
"073ec31a","1","24.00","1 order"
"0745dc4e","1","168.00","1 order"
"074d85f3","1","168.00","1 order"
"0750f7df","1","480.00","1 order"
"0759691e","1","160.61","1 order"
"075be717","1","460.15","1 order"
"075fba14","1","326.62","1 order"
"07600b7c","1","168.00","1 order"
"0761ec6f","1","336.60","1 order"
"076426a8","1","49.98","1 order"
"07698de4","1","168.00","1 order"
"076fafff","1","442.16","1 order"
"076ffa39","1","146.02","1 order"
"0773adb1","1","168.00","1 order"
"0774acc6","2","816.00","2-3 orders"
"077aa12d","1","314.30","1 order"
"077af78b","1","1800.00","1 order"
"078171ce","1","480.00","1 order"
"07830f24","1","167.98","1 order"
"07831ae8","1","315.62","1 order"
"07868dba","4","960.00","4-5 orders"
"07890ea2","1","439.20","1 order"
"078a014f","1","168.00","1 order"
"078bd2b1","1","159.60","1 order"
"078ec11c","1","168.00","1 order"
"07920c20","1","1868.90","1 order"
"07935d7f","1","148.05","1 order"
"07946a12","1","963.23","1 order"
"0796bdb2","1","14.68","1 order"
"07a25889","1","24.00","1 order"
"07a79586","1","480.00","1 order"
"07a9c540","1","1027.77","1 order"
"07ab1d26","1","133.43","1 order"
"07b7c94f","1","480.00","1 order"
"07ba8081","1","22.22","1 order"
"07c4fa6b","1","168.00","1 order"
"07c64db7","1","171.65","1 order"
"07c7c6f3","1","480.00","1 order"
"07c92bf0","1","142.80","1 order"
"07c9841f","1","434.46","1 order"
"07cd160e","1","1530.00","1 order"
"07d3be16","1","168.00","1 order"
"07dc2d98","1","480.00","1 order"
"07de5d0f","1","168.00","1 order"
"07e1a421","1","168.00","1 order"
"07e35a46","1","311.68","1 order"
"07e5f72a","1","168.00","1 order"
"07e813fb","1","22.52","1 order"
"07e98a00","1","63.61","1 order"
"07ec17fa","1","135.84","1 order"
"07eefc3d","1","168.00","1 order"
"07f11689","1","455.60","1 order"
"07f22c4c","1","480.26","1 order"
"07f6eb42","1","168.00","1 order"
"07fbc1e2","1","168.00","1 order"
"07fc869a","1","192.94","1 order"
"08050ee7","1","142.63","1 order"
"0807fcd7","1","168.00","1 order"
"0809f934","1","168.00","1 order"
"080d247f","2","361.82","2-3 orders"
"080d61e0","3","851.84","2-3 orders"
"080f21a6","1","168.00","1 order"
"080fb516","1","305.43","1 order"
"0816e690","2","932.12","2-3 orders"
"0817187e","1","148.05","1 order"
"0819179e","1","480.00","1 order"
"081a9679","2","336.00","2-3 orders"
"0821b9fa","2","317.80","2-3 orders"
"0824b2e3","1","1800.00","1 order"
"0825d893","1","149.03","1 order"
"083211d6","1","167.76","1 order"
"083402c9","1","18.34","1 order"
"08364b28","1","168.00","1 order"
"08365ace","1","167.35","1 order"
"0837cd6a","1","480.00","1 order"
"083a4456","1","167.76","1 order"
"083deeed","1","22.72","1 order"
"0842106d","1","168.00","1 order"
"0843f380","1","317.31","1 order"
"08478d4a","1","154.75","1 order"
"0856b20b","1","136.25","1 order"
"085a1514","1","151.88","1 order"
"085f9019","1","168.00","1 order"
"0863786f","1","120.98","1 order"
"086486bf","1","414.80","1 order"
"0864d007","1","150.41","1 order"
"08698e6f","2","312.14","2-3 orders"
"086c4808","1","22.10","1 order"
"086e8edd","1","168.00","1 order"
"0871de92","1","161.05","1 order"
"0873ab05","1","24.00","1 order"
"0874d534","1","168.00","1 order"
"087515f2","1","441.26","1 order"
"088452b7","1","439.93","1 order"
"0889158b","2","46.64","2-3 orders"
"088e75cd","2","490.56","2-3 orders"
"0894914b","1","168.00","1 order"
"089aa678","1","1198.00","1 order"
"089adc8b","1","168.00","1 order"
"089cc1c7","1","480.00","1 order"
"089f2459","1","154.89","1 order"
"089fc7b8","1","155.42","1 order"
"08a03eb3","1","168.00","1 order"
"08a04afa","1","385.23","1 order"
"08ab62ff","2","48.00","2-3 orders"
"08b098f6","1","49.98","1 order"
"08b16a04","1","149.42","1 order"
"08b1d2b5","1","168.00","1 order"
"08b4d000","1","168.00","1 order"
"08b52de1","1","150.53","1 order"
"08c0e09e","1","490.89","1 order"
"08c587d1","2","267.51","2-3 orders"
"08c63312","1","13.98","1 order"
"08c6e99f","1","480.00","1 order"
"08cb0794","1","1320.00","1 order"
"08cc48b5","1","14.54","1 order"
"08d1f651","1","168.00","1 order"
"08d6fb94","1","24.00","1 order"
"08dc39e0","1","22.31","1 order"
"08dd6d8e","1","480.00","1 order"
"08de32b7","1","55.14","1 order"
"08e390f4","1","168.00","1 order"
"08e3a24d","1","24.00","1 order"
"08e4bdbb","1","480.00","1 order"
"08ee8ec0","2","354.22","2-3 orders"
"08ef0256","1","450.37","1 order"
"08ef0623","1","22.98","1 order"
"08f1aafe","2","960.00","2-3 orders"
"08f2ecb7","1","168.00","1 order"
"08f3f61a","1","293.28","1 order"
"08f42eb5","1","480.00","1 order"
"08f6e0db","1","168.00","1 order"
"08fa4766","1","420.17","1 order"
"08faf34e","1","24.00","1 order"
"08fbf491","1","399.00","1 order"
"08fd1425","1","1198.00","1 order"
"08fd14fe","1","160.34","1 order"
"08fe9df8","1","268.32","1 order"
"0900915e","1","24.00","1 order"
"09010c42","1","1800.00","1 order"
"09018b2b","1","168.00","1 order"
"0903192c","1","168.00","1 order"
"090aa0b5","1","151.20","1 order"
"090b4805","1","167.98","1 order"
"090f315f","1","168.00","1 order"
"090fccdd","1","24.00","1 order"
"0914a7a4","1","168.00","1 order"
"091f8efa","1","480.00","1 order"
"092620ed","1","23.32","1 order"
"0927954","1","168.00","1 order"
"092d7ac1","1","1749.84","1 order"
"092ed86b","1","177.11","1 order"
"092ffabe","1","168.00","1 order"
"093164ed","1","164.42","1 order"
"093870f6","1","60.27","1 order"
"093bab9d","1","637.19","1 order"
"093c3f18","1","405.53","1 order"
"0940b502","1","480.00","1 order"
"09427f88","1","148.22","1 order"
"0943958a","1","142.80","1 order"
"09460ec2","1","168.00","1 order"
"094912df","1","506.46","1 order"
"0949a45b","1","445.28","1 order"
"0949d434","1","168.00","1 order"
"094d063f","1","24.00","1 order"
"0952e03f","1","158.90","1 order"
"095d2834","1","168.00","1 order"
"09607c8a","1","152.51","1 order"
"0963180f","1","8.58","1 order"
"09654ff1","2","908.42","2-3 orders"
"0965a269","1","275.13","1 order"
"096b6fbe","1","142.02","1 order"
"096e92b8","1","24.88","1 order"
"096ea6e9","1","168.00","1 order"
"096eaed0","1","1951.98","1 order"
"0970fbfc","1","24.00","1 order"
"09791a72","2","3119.56","2-3 orders"
"097d58ba","1","168.00","1 order"
"097f4d5c","1","168.00","1 order"
"09822c16","1","161.12","1 order"
"0986ff1b","1","480.00","1 order"
"0988499a","1","122.72","1 order"
"09897f5d","1","174.96","1 order"
"0989cde1","2","2537.24","2-3 orders"
"098bb101","2","878.40","2-3 orders"
"098ce0a4","3","734.73","2-3 orders"
"09912fa7","1","480.00","1 order"
"0993c4c8","1","1198.00","1 order"
"099c774a","1","24.00","1 order"
"099d8be7","1","814.44","1 order"
"099f99f5","2","336.00","2-3 orders"
"099ff4ce","1","21.79","1 order"
"09a0bd28","1","24.00","1 order"
"09a1410","1","168.00","1 order"
"09a4900c","2","960.00","2-3 orders"
"09a77416","1","22.22","1 order"
"09a9f2c1","1","24.30","1 order"
"09ac1900","1","376.84","1 order"
"09adfd54","1","480.00","1 order"
"09b84bf4","1","142.80","1 order"
"09bb2819","1","168.00","1 order"
"09bb7648","1","179.22","1 order"
"09bc6b88","1","134.40","1 order"
"09beea51","1","480.00","1 order"
"09c11171","1","168.00","1 order"
"09c24c30","1","489.58","1 order"
"09c4b0f0","1","23.66","1 order"
"09c7c6fb","1","168.00","1 order"
"09cc8127","1","381.31","1 order"
"09cce248","1","21.16","1 order"
"09cd5395","1","57.55","1 order"
"09cfeac4","1","1712.77","1 order"
"09d0afb5","1","146.02","1 order"
"09d34d6b","1","23.28","1 order"
"09dc7d7a","1","24.00","1 order"
"09de67f7","1","168.00","1 order"
"09deb02b","1","168.00","1 order"
"09e1d21e","2","196.88","2-3 orders"
"09e23563","1","168.00","1 order"
"09e8e472","1","21.15","1 order"
"09edbc36","1","168.00","1 order"
"09efc706","1","124.54","1 order"
"09f67e02","1","408.00","1 order"
"09f87853","1","165.36","1 order"
"09fccef4","1","168.00","1 order"
"0a0285fa","1","21.60","1 order"
"0a02c947","1","149.03","1 order"
"0a049556","1","151.70","1 order"
"0a0760ce","1","1198.00","1 order"
"0a08175a","1","168.00","1 order"
"0a0fa664","1","1640.14","1 order"
"0a10e0c5","1","155.42","1 order"
"0a1161a8","1","2001.65","1 order"
"0a126183","1","458.32","1 order"
"0a138b78","2","48.00","2-3 orders"
"0a14abfd","1","50.68","1 order"
"0a17674c","1","22.03","1 order"
"0a2b3d4d","1","168.00","1 order"
"0a2df4ff","1","403.40","1 order"
